Player,College,DraftYear,DraftRound,DraftPick,SeasonNum,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Malachi Richardson,Syracuse,2016,1,22,3,21,SG,70,4,625,5.466666666666666,0.48133333333333334,0.5726666666666667,0.2316666666666667,1.9000000000000001,11.1,6.5,4.766666666666667,1.1333333333333335,0.26666666666666666,13.0,16.966666666666665,-0.4,0.30000000000000004,-0.1,-0.015666666666666666,-5.0,-1.5,-6.533333333333334,-0.6,
Malaki Branham,Ohio State,2022,1,20,3,19,SG,188,61,3571,10.066666666666666,0.5416666666666666,0.4286666666666667,0.12966666666666668,1.8666666666666665,10.166666666666666,5.933333333333334,12.933333333333332,1.0,0.4000000000000001,12.366666666666667,20.900000000000002,-1.4000000000000001,1.0,-0.29999999999999993,-0.0016666666666666668,-2.533333333333333,-2.066666666666667,-4.666666666666667,-2.9,
Malcolm Brogdon,Virginia,2016,2,36,3,24,SG,187,112,5250,15.666666666666666,0.5823333333333333,0.31666666666666665,0.19000000000000003,2.8333333333333335,10.700000000000001,6.8999999999999995,18.933333333333334,1.5999999999999999,0.6333333333333333,11.666666666666666,19.433333333333334,8.8,4.5,13.3,0.12066666666666666,0.6333333333333333,-0.43333333333333335,0.20000000000000004,3.0,"ROY-1,6MOY-11"
Malcolm Lee,UCLA,2011,2,43,3,21,SG,36,12,534,-0.1999999999999993,0.3086666666666667,0.16166666666666668,0.18366666666666664,3.2999999999999994,5.866666666666667,4.533333333333334,10.166666666666666,1.2666666666666668,0.9333333333333332,10.299999999999999,17.266666666666666,0.1,0.39999999999999997,0.5,-0.14800000000000002,-7.966666666666666,-2.9666666666666663,-10.9,-0.1,
Malik Beasley,Florida State,2016,1,19,3,20,SG,165,19,2627,12.299999999999999,0.548,0.465,0.13733333333333334,2.6999999999999997,9.5,6.133333333333333,8.366666666666667,1.5999999999999999,0.5,9.066666666666666,18.966666666666665,3.1,2.0,5.0,0.06666666666666667,-0.6666666666666666,-0.7666666666666666,-1.4333333333333333,0.8,6MOY-11
Malik Monk,Kentucky,2017,1,11,3,19,SG,191,1,3281,11.533333333333333,0.5083333333333333,0.5176666666666666,0.156,1.5666666666666667,10.233333333333333,5.8,15.933333333333332,1.2,1.1666666666666667,11.533333333333333,24.133333333333336,-0.8,1.7999999999999998,1.0,0.013333333333333334,-1.2333333333333334,-1.6666666666666667,-2.9,-0.7,
MarShon Brooks,Providence,2011,1,25,3,23,SG,164,49,2876,13.966666666666667,0.5253333333333333,0.19933333333333336,0.288,4.1,11.433333333333332,7.666666666666667,14.033333333333333,1.9666666666666668,0.9666666666666667,14.700000000000001,22.933333333333334,1.1,1.4000000000000001,2.5,0.049999999999999996,-0.9666666666666667,-0.7666666666666666,-1.7333333333333334,0.0,ROY-10
Marcus Morris,Kansas,2011,1,14,3,22,PF,176,24,3450,9.966666666666667,0.472,0.38566666666666666,0.20466666666666666,5.266666666666667,13.133333333333333,9.200000000000001,5.8999999999999995,1.4333333333333333,1.0,9.966666666666667,20.333333333333332,2.5999999999999996,3.1,5.800000000000001,0.028666666666666663,-2.4,-1.2,-3.6,0.9000000000000001,
Marcus Paige,UNC,2016,2,55,1,24,PG,5,0,28,9.1,0.403,0.571,0.143,0.0,15.7,7.7,16.1,0.0,0.0,0.0,23.0,0.0,0.0,0.0,-0.006,-5.6,-3.2,-8.8,0.0,
Marcus Sasser,Houston,2023,1,25,2,23,PG,128,12,2162,12.9,0.5655,0.4915,0.1505,1.7,8.25,4.95,24.15,1.9000000000000001,0.65,14.4,19.65,1.3,1.4,2.7,0.07050000000000001,-0.95,-0.65,-1.6,0.09999999999999998,
