Player,College,DraftYear,DraftRound,DraftPick,Season,SeasonNum,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Lavoy Allen,Temple,2011,2,50,2011,1,22,PHI,PF,41,15,624,12.7,0.488,0.0,0.084,8.3,22.2,15.2,8.4,1.1,2.2,10.4,14.5,0.4,1.2,1.6,0.124,-2.8,1.0,-1.7,0.0,
Lazar Hayward,Marquette,2010,1,30,2010,1,24,MIN,SF,42,0,419,10.8,0.464,0.39,0.273,5.9,12.8,9.3,10.3,1.4,1.3,9.9,19.5,0.1,0.2,0.3,0.035,-1.6,-1.3,-2.9,-0.1,
Liam McNeeley,UConn,2025,1,29,2025,1,20,CHO,SF,7,0,83,8.8,0.547,0.667,0.611,4.2,13.0,8.8,13.7,1.1,0.0,14.9,13.3,0.1,0.0,0.1,0.061,-2.6,-0.9,-3.5,0.0,
Lonnie Walker IV,Miami (FL),2018,1,18,2018,1,20,SAS,SG,17,0,118,10.8,0.446,0.283,0.217,0.0,15.6,7.9,10.3,2.9,2.2,7.4,20.3,-0.1,0.2,0.0,0.019,-3.4,1.0,-2.4,0.0,
Lonzo Ball,UCLA,2017,1,2,2017,1,20,LAL,PG,52,50,1780,12.5,0.444,0.523,0.126,4.2,17.3,10.8,29.2,2.4,2.0,18.6,17.4,-0.5,2.5,2.0,0.053,-0.7,1.6,1.0,1.3,
Lorenzo Brown,NC State,2013,2,52,2013,1,23,PHI,PG,26,0,224,8.2,0.349,0.349,0.151,3.7,10.0,6.8,27.5,2.8,1.1,14.9,20.4,-0.5,0.2,-0.3,-0.068,-4.5,-0.7,-5.2,-0.2,
Luka Garza,Iowa,2021,2,52,2021,1,23,DET,C,32,5,389,15.6,0.535,0.333,0.415,15.3,12.3,13.9,8.3,1.1,1.4,9.4,21.1,0.5,0.2,0.8,0.093,-0.5,-2.0,-2.5,-0.1,
Luke Babbitt,Nevada,2010,1,16,2010,1,21,POR,SF,24,0,137,1.0,0.305,0.291,0.164,5.1,22.4,13.4,6.9,0.8,1.2,11.9,22.8,-0.6,0.1,-0.4,-0.143,-8.3,-2.5,-10.8,-0.3,
Luke Harangody,Notre Dame,2010,2,52,2010,1,23,2TM,PF,49,0,640,10.1,0.444,0.32,0.126,7.5,18.9,13.2,7.6,1.2,2.0,6.9,16.8,-0.1,0.7,0.6,0.048,-3.3,-0.4,-3.7,-0.3,
Luke Kennard,Duke,2017,1,12,2017,1,21,DET,SG,73,9,1463,12.1,0.56,0.419,0.163,1.6,11.9,6.6,12.7,1.5,0.8,12.2,17.2,1.1,1.4,2.6,0.084,-0.9,0.1,-0.8,0.5,
Malachi Flynn,San Diego State,2020,1,29,2020,1,22,TOR,PG,47,14,928,10.9,0.484,0.494,0.165,1.1,13.0,6.9,21.4,2.0,0.8,10.5,19.0,0.0,0.8,0.8,0.041,-2.5,-0.2,-2.6,-0.1,
Malachi Richardson,Syracuse,2016,1,22,2016,1,21,SAC,SG,22,0,198,9.6,0.517,0.412,0.279,1.8,11.5,6.7,8.7,1.3,0.5,9.5,19.3,0.0,0.1,0.1,0.028,-3.4,-1.4,-4.8,-0.1,
Malaki Branham,Ohio State,2022,1,20,2022,1,19,SAS,SG,66,32,1550,9.5,0.524,0.417,0.115,1.9,11.2,6.4,11.4,1.0,0.4,10.6,19.1,-0.4,0.2,-0.1,-0.004,-3.0,-2.1,-5.2,-1.3,
Malcolm Brogdon,Virginia,2016,2,36,2016,1,24,MIL,SG,75,28,1982,14.9,0.555,0.304,0.198,2.8,9.6,6.3,24.3,2.2,0.5,14.1,18.5,2.6,1.5,4.1,0.1,0.0,-0.4,-0.4,0.8,"ROY-1,6MOY-11"
Malcolm Lee,UCLA,2011,2,43,2011,1,21,MIN,SG,19,0,243,9.3,0.466,0.169,0.288,4.1,7.8,5.9,19.8,1.7,1.2,20.4,15.3,0.0,0.1,0.1,0.024,-3.5,-0.3,-3.8,-0.1,
Malik Beasley,Florida State,2016,1,19,2016,1,20,DEN,SG,22,1,165,13.7,0.536,0.384,0.137,3.4,8.0,5.7,10.2,2.1,0.0,9.4,22.0,0.1,0.1,0.2,0.057,-0.4,-0.2,-0.6,0.1,
Malik Monk,Kentucky,2017,1,11,2017,1,19,CHO,SG,63,0,854,10.2,0.477,0.572,0.089,1.0,7.5,4.2,16.9,1.1,0.9,10.0,24.9,-0.5,0.5,0.0,0.0,-1.3,-2.0,-3.4,-0.3,
MarShon Brooks,Providence,2011,1,25,2011,1,23,NJN,SG,56,47,1648,12.9,0.502,0.234,0.231,4.8,9.4,7.0,14.6,1.7,0.7,14.3,22.9,0.5,0.3,0.8,0.022,-0.7,-1.7,-2.4,-0.2,ROY-10
Marcus Morris,Kansas,2011,1,14,2011,1,22,HOU,PF,17,0,126,3.8,0.348,0.315,0.148,4.6,10.2,7.4,3.7,0.8,1.2,6.5,22.2,-0.3,0.1,-0.2,-0.083,-6.6,-2.7,-9.3,-0.2,
Marcus Paige,UNC,2016,2,55,2017,1,24,CHO,PG,5,0,28,9.1,0.403,0.571,0.143,0.0,15.7,7.7,16.1,0.0,0.0,0.0,23.0,0.0,0.0,0.0,-0.006,-5.6,-3.2,-8.8,0.0,
