Player,College,DraftYear,DraftRound,DraftPick,Season,SeasonNum,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Elijah Hughes,Syracuse,2020,2,39,2020,1,22,UTA,SF,18,0,64,8.4,0.488,0.767,0.133,1.7,12.7,7.5,13.4,0.8,1.3,15.9,25.4,-0.1,0.1,0.0,-0.013,-1.4,-1.3,-2.8,0.0,
Elijah Hughes,Syracuse,2020,2,39,2021,2,23,2TM,SG,36,4,434,5.4,0.426,0.66,0.063,1.5,13.4,7.3,7.2,1.6,1.8,10.3,16.5,-0.6,0.3,-0.4,-0.043,-5.2,-1.7,-6.9,-0.5,
Elliot Williams,Memphis,2010,1,22,2011,1,22,POR,SG,24,0,149,18.8,0.537,0.365,0.243,5.4,9.6,7.4,8.0,2.1,1.6,5.8,26.7,0.2,0.1,0.3,0.105,0.7,-0.8,-0.1,0.1,
Elliot Williams,Memphis,2010,1,22,2013,2,24,PHI,SG,67,2,1157,8.7,0.519,0.371,0.353,2.7,9.7,6.1,9.4,1.5,0.2,14.9,16.7,0.0,0.3,0.3,0.014,-3.9,-1.7,-5.6,-1.1,
Elliot Williams,Memphis,2010,1,22,2014,3,25,2TM,SG,13,0,119,8.7,0.477,0.486,0.108,0.0,7.7,3.8,15.5,1.8,0.0,9.4,16.4,0.0,0.1,0.1,0.039,-2.7,-0.2,-2.8,0.0,
Emoni Bates,Eastern Michigan,2023,2,49,2023,1,20,CLE,SF,15,0,133,2.6,0.404,0.673,0.082,0.9,10.9,5.9,10.0,0.4,1.4,13.6,19.5,-0.4,0.1,-0.3,-0.092,-6.2,-3.0,-9.2,-0.2,
Emoni Bates,Eastern Michigan,2023,2,49,2024,2,21,CLE,SF,10,0,75,9.8,0.487,0.789,0.0,0.0,9.8,5.1,14.2,0.6,1.2,5.0,22.6,0.0,0.1,0.1,0.038,-0.5,-1.0,-1.5,0.0,
Enrique Freeman,University of Akron,2024,2,50,2024,1,24,IND,PF,22,1,181,7.4,0.507,0.27,0.514,6.8,11.6,9.2,6.1,0.8,1.5,11.7,12.3,0.0,0.1,0.2,0.046,-4.9,-1.4,-6.3,-0.2,
Eric Bledsoe,Kentucky,2010,1,18,2010,1,21,LAC,PG,81,25,1841,10.8,0.499,0.239,0.274,4.4,9.8,7.1,24.2,2.6,1.1,26.3,17.9,-1.3,1.6,0.3,0.008,-2.4,0.2,-2.2,-0.1,
Eric Bledsoe,Kentucky,2010,1,18,2011,2,22,LAC,PG,40,1,464,11.2,0.454,0.238,0.349,5.6,11.1,8.3,21.6,3.6,2.5,24.4,19.1,-0.4,0.6,0.2,0.022,-3.4,1.8,-1.6,0.0,
Eric Bledsoe,Kentucky,2010,1,18,2012,3,23,LAC,PG,76,12,1553,17.5,0.513,0.137,0.236,6.1,11.1,8.6,23.5,3.7,3.0,17.9,22.5,1.1,2.6,3.7,0.115,1.3,2.2,3.5,2.2,
Eric Paschall,Villanova,2019,2,41,2019,1,23,GSW,PF,60,26,1654,14.5,0.571,0.202,0.331,5.2,13.1,9.0,12.7,0.9,0.7,11.4,21.4,1.6,0.5,2.1,0.062,-0.7,-2.0,-2.7,-0.3,ROY-6
Eric Paschall,Villanova,2019,2,41,2020,2,24,GSW,PF,40,2,695,13.4,0.561,0.181,0.315,4.3,15.1,9.8,11.4,0.8,0.9,11.2,23.5,0.2,0.7,0.9,0.062,-1.8,-0.9,-2.7,-0.1,
Eric Paschall,Villanova,2019,2,41,2021,3,25,UTA,PF,58,3,736,13.9,0.612,0.46,0.366,4.6,10.9,7.9,7.1,0.6,0.6,9.0,17.7,1.4,0.5,2.0,0.128,0.5,-1.0,-0.5,0.3,
Erick Green,Virginia Tech,2013,2,46,2014,1,23,DEN,PG,43,1,410,8.9,0.436,0.29,0.074,1.8,6.6,4.1,15.1,1.5,0.0,7.7,19.1,-0.1,0.1,0.0,0.0,-3.0,-1.3,-4.3,-0.2,
Erick Green,Virginia Tech,2013,2,46,2015,2,24,2TM,PG,9,0,42,12.4,0.468,0.385,0.154,8.4,8.2,8.3,11.0,1.3,0.0,0.0,15.2,0.1,0.0,0.1,0.121,-1.6,-0.4,-1.9,0.0,
Erik Murphy,Florida,2013,2,49,2013,1,23,CHI,C,24,0,62,0.2,0.231,0.231,0.0,3.7,10.8,7.3,4.9,0.0,5.0,13.3,11.2,-0.2,0.1,-0.1,-0.055,-9.0,0.3,-8.6,-0.1,
Evan Mobley,USC,2021,1,3,2021,1,20,CLE,PF,69,69,2331,16.1,0.549,0.111,0.304,6.9,19.8,13.5,11.6,1.2,4.4,12.4,20.4,1.5,3.7,5.2,0.107,-0.9,1.5,0.6,1.5,ROY-2
Evan Mobley,USC,2021,1,3,2022,2,21,CLE,PF,79,79,2715,17.9,0.591,0.108,0.321,8.1,22.7,15.4,12.4,1.1,4.0,11.9,20.2,3.7,4.8,8.5,0.151,0.0,1.6,1.7,2.5,"DPOY-3,DEF1"
Evan Mobley,USC,2021,1,3,2023,3,22,CLE,PF,50,50,1532,20.1,0.626,0.107,0.31,8.2,25.9,17.2,15.9,1.5,4.2,12.5,20.6,2.8,2.7,5.5,0.174,0.9,2.0,2.9,1.9,
Evan Turner,Ohio State,2010,1,2,2010,1,22,PHI,SG,78,14,1797,10.8,0.484,0.083,0.236,2.7,16.9,9.8,13.4,1.4,0.6,12.0,17.0,0.0,2.2,2.3,0.06,-2.6,0.4,-2.2,-0.1,
Evan Turner,Ohio State,2010,1,2,2011,2,23,PHI,SF,65,20,1713,12.6,0.478,0.083,0.183,1.7,22.8,12.2,16.9,1.2,0.9,14.1,20.3,-0.6,3.0,2.4,0.068,-2.2,1.0,-1.3,0.3,
Evan Turner,Ohio State,2010,1,2,2012,3,24,PHI,SF,82,82,2892,12.1,0.478,0.151,0.198,2.1,18.5,10.1,19.7,1.3,0.5,14.0,21.2,-0.7,2.9,2.1,0.035,-2.2,-0.2,-2.3,-0.3,
Fab Melo,Syracuse,2012,1,22,2012,1,22,BOS,C,6,0,36,4.9,0.451,0.0,0.667,0.0,9.6,4.9,0.0,2.9,4.4,11.4,11.5,0.0,0.1,0.0,0.021,-8.3,0.7,-7.6,-0.1,
Festus Ezeli,Vanderbilt,2012,1,30,2012,1,23,GSW,C,78,41,1120,9.3,0.467,0.0,0.479,14.3,16.4,15.4,2.7,1.0,5.2,23.5,10.7,0.0,1.5,1.5,0.066,-4.0,0.7,-3.4,-0.4,
Festus Ezeli,Vanderbilt,2012,1,30,2014,2,25,GSW,C,46,7,504,16.2,0.58,0.0,0.561,13.3,19.7,16.6,2.5,0.7,6.2,15.6,17.7,0.8,0.9,1.7,0.159,-2.2,0.3,-1.8,0.0,
Festus Ezeli,Vanderbilt,2012,1,30,2015,3,26,GSW,C,46,13,770,17.7,0.559,0.0,0.579,13.5,21.9,18.0,5.8,1.1,4.8,11.7,18.2,1.4,1.3,2.7,0.171,-0.6,0.4,-0.1,0.4,
Filip Petrušev,Gonzaga,2021,2,50,2023,1,23,2TM,C,3,0,10,5.1,0.521,0.0,1.0,0.0,11.2,5.5,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.029,-4.7,-3.3,-8.0,0.0,
Frank Jackson,Duke,2017,2,31,2018,1,20,NOP,PG,61,16,1169,9.4,0.517,0.378,0.163,2.2,9.5,5.9,8.0,1.0,0.1,9.1,18.5,0.1,0.4,0.4,0.018,-2.9,-1.7,-4.6,-0.8,
Frank Jackson,Duke,2017,2,31,2019,2,21,NOP,PG,59,2,797,9.1,0.51,0.435,0.227,2.9,8.1,5.5,10.8,1.0,0.4,11.9,21.2,-0.2,0.3,0.2,0.01,-3.3,-2.2,-5.5,-0.7,
Frank Jackson,Duke,2017,2,31,2020,3,22,DET,PG,40,6,738,13.2,0.598,0.512,0.256,2.2,10.8,6.5,7.9,1.0,0.1,9.4,21.3,0.7,0.4,1.2,0.076,-0.1,-1.6,-1.7,0.1,
